1762311744,0000000200000001,6035623877,2112,678
1762311754,0000000800000002,6132797027,1466,679
1762311779,0000000400000001,6384068769,1934,680
1762311797,0000000100000004,6568382095,1238,681
1762311817,0000008000000080,6759685990,5313,682
1762311817,0000008000000080,6763151139,5105,683
1762311820,0000000900000004,6797011002,3057,684
1762311822,0000004000000004,6815228296,1973,685
1762311827,0000000c00000005,6867139726,4057,686
1762311832,0000000800000080,6915455738,1141,687
1762311842,0000000300000001,7018079019,168,688
1762311843,0000000800000008,7018289981,162,689
1762311850,0000000100000008,7092021667,914,690
1762311864,0000000800000008,7236495159,2596,691
1762311899,0000000100000005,7585442287,2387,692
1762311909,0000000400000080,7684513091,1633,693
1762311929,0000008000000080,7888336966,4956,694
1762311942,0000004000000080,8012878920,2647,695
1762311970,0000000800000080,8296662372,1173,696
1762311987,0000008000000001,8468074984,1252,697
1762311990,0000000100000002,8495080418,4826,698
1762312001,0000000100000001,8602356961,3563,699
1762312002,0000008000000080,8615294404,2771,700
1762312006,0000000100000004,8655041366,401,701
1762312012,0000000100000001,8716332962,1902,702
1762312012,0000004000000004,8717705578,1819,703
1762312018,0000000100000008,8768809372,3948,704
1762312020,0000000100000008,8793994744,2415,705
1762312021,000000c000000080,8803230851,1869,706
1762312027,0000000100000004,8858720039,3730,707
1762312036,0000000800000080,8949222380,3475,708
1762312036,0000000100000001,8956577563,3021,709
1762312053,0000008000000080,9124069206,3340,710
1762312056,0000000400000002,9149772337,1802,711
1762312066,0000008000000080,9254564953,697,712
1762312081,0000004000000008,9401180962,2256,713
1762312084,0000000100000003,9430912767,481,714
1762312094,0000000100000002,9534354906,4650,715
1762312120,0000000100000004,9792356908,4712,716
1762312123,0000000100000001,9820828074,2978,717
1762312136,0000004000000080,9954434606,162,718
1762312137,0000000400000001,9961645945,4913,719
1762312141,0000004000000008,9999376910,2628,720
1762312149,0000008000000008,10080279522,2955,721
1762312149,0000000800000001,10088389921,2470,722
1762312162,0000000100000001,10215125889,5245,723
1762312163,0000000100000004,10219858064,4964,724
1762312177,0000000800000004,10361690322,1627,725
1762312182,0000000800000080,10408892469,3990,726
1762312206,0000000800000001,10651345049,4980,727
1762312219,0000008800000002,10785200279,2118,728
1762312221,0000000400000080,10805966895,878,729
1762312223,0000000800000001,10827330220,4789,730
1762312224,0000004000000002,10834547147,4361,731
1762312230,0000000100000001,10898094228,533,732
1762312238,0000000400000004,10968670521,1477,733
1762312238,0000000100000080,10970454362,1370,734
1762312256,0000000100000001,11151884308,849,735
1762312258,0000000400000001,11172092274,4827,736
1762312265,0000000100000008,11246118026,376,737
